Date,HomeTeam,AwayTeam,FTR,Season,played,BTTS,Time,HTREND,HTREND2,HTREND3,HTREND4,HTREND5,ATREND,ATREND2,ATREND3,ATREND4,ATREND5,HPOINT,APOINT,HLM,ALM,HLM_1,ALM_1,AAG_1,HAG_1,HSc_1,ASc_1,HLM_2,ALM_2,AAG_2,HAG_2,HSc_2,ASc_2,HLM_3,ALM_3,AAG_3,HAG_3,HSc_3,ASc_3,HLM_4,ALM_4,AAG_4,HAG_4,HSc_4,ASc_4,HLM_5,ALM_5,AAG_5,HAG_5,HSc_5,ASc_5,ACUM,HCUM,AAG,HAG,AAGC,HAGC,UO25
2013-12-15,31,15,A,1314,1,1.0,0,3.0,3.0,3.0,6.0,6.0,3.0,3.0,4.0,5.0,8.0,13.0,16.0,0,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,11.0,3.0,0.5,0.5,0.5,1.5,1
2013-12-16,13,19,H,1314,1,0.0,0,3.0,3.0,6.0,6.0,9.0,0.0,1.0,1.0,4.0,7.0,15.0,13.0,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,1.0,0.0,0.5,0.0,0
2013-12-16,25,28,H,1314,1,1.0,0,1.0,2.0,3.0,4.0,4.0,0.0,0.0,3.0,4.0,4.0,8.0,7.0,3,0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,9.0,0.0,1.0,2.5,1.0,1
2013-12-19,22,35,D,1314,1,1.0,0,1.0,2.0,5.0,8.0,8.0,3.0,3.0,6.0,6.0,6.0,4.0,12.0,1,1,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,8.0,0.0,2.5,1.5,0.5,1
2013-12-20,15,26,H,1314,1,0.0,0,3.0,6.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0,1.0,14.0,6.0,3,0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,16.0,0.5,1.5,1.0,0.5,1
2013-12-20,42,6,A,1314,1,0.0,0,0.0,3.0,4.0,7.0,10.0,3.0,4.0,7.0,10.0,13.0,8.0,17.0,0,3,3.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,16.0,8.0,3.0,1.0,0.3333333333333333,2.0,0
2013-12-21,41,0,H,1314,1,0.0,0,3.0,4.0,7.0,7.0,7.0,1.0,1.0,4.0,7.0,7.0,10.0,7.0,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,0.5,0.0,0.5,0.0,1
2013-12-21,28,31,D,1314,1,0.0,0,0.0,0.0,0.0,3.0,4.0,0.0,3.0,3.0,3.0,6.0,1.0,3.0,1,1,0.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,1.0,0.5,0.0,1.5,0
2013-12-21,33,25,D,1314,1,0.0,0,3.0,6.0,9.0,12.0,15.0,3.0,4.0,5.0,6.0,7.0,18.0,12.0,1,1,3.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,8.0,17.0,1.5,3.3333333333333335,3.0,0.6666666666666666,0
2013-12-22,5,13,D,1314,1,0.0,0,0.0,1.0,2.0,2.0,3.0,3.0,6.0,6.0,9.0,9.0,2.0,8.0,1,1,1.0,3.0,3.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,15.0,8.0,2.5,0.5,0.5,2.5,0
