Date,HomeTeam,AwayTeam,FTR,Season,played,BTTS,Time,HTREND,HTREND2,HTREND3,HTREND4,HTREND5,ATREND,ATREND2,ATREND3,ATREND4,ATREND5,HPOINT,APOINT,HLM,ALM,HLM_1,ALM_1,AAG_1,HAG_1,HSc_1,ASc_1,HLM_2,ALM_2,AAG_2,HAG_2,HSc_2,ASc_2,HLM_3,ALM_3,AAG_3,HAG_3,HSc_3,ASc_3,HLM_4,ALM_4,AAG_4,HAG_4,HSc_4,ASc_4,HLM_5,ALM_5,AAG_5,HAG_5,HSc_5,ASc_5,ACUM,HCUM,AAG,HAG,AAGC,HAGC,UO25
2012-10-31,14,7,H,1213,1,1.0,0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,5.0,6.0,16.0,3,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,9.0,3.0,1.0,0.0,0.0,1.0,1
2012-10-31,15,23,H,1213,1,0.0,0,3.0,6.0,7.0,7.0,8.0,0.0,0.0,1.0,1.0,2.0,9.0,6.0,3,0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,6.0,0.0,2.0,2.0,0.0,0
2012-10-31,17,11,H,1213,1,1.0,0,3.0,6.0,9.0,12.0,13.0,3.0,6.0,6.0,6.0,9.0,11.0,10.0,3,0,3.0,3.0,2.0,4.0,1.0,1.0,3.0,0.0,1.0,5.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,7.0,10.0,1.5,4.0,2.5,2.0,1
2012-10-31,25,6,H,1213,1,1.0,0,3.0,3.0,6.0,9.0,9.0,3.0,6.0,6.0,6.0,6.0,16.0,4.0,3,0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,3.0,1.0,2.0,1.0,1.0,9.0,9.0,1.0,1.5,0.0,0.5,1
2012-11-03,3,4,H,1213,1,1.0,0,3.0,3.0,6.0,7.0,10.0,3.0,3.0,3.0,3.0,6.0,8.0,6.0,3,0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,13.0,1.0,1.6666666666666667,1.5,1.0,1
2012-11-03,6,15,A,1213,1,0.0,0,0.0,3.0,6.0,6.0,6.0,3.0,6.0,9.0,10.0,10.0,9.0,12.0,0,3,3.0,3.0,3.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,12.0,4.0,2.0,2.0,2.0,3.0,0
2012-11-03,9,8,A,1213,1,1.0,0,0.0,3.0,3.0,4.0,5.0,0.0,1.0,4.0,5.0,8.0,8.0,14.0,0,3,3.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,8.0,8.0,1.0,1.0,2.0,1.5,1
2012-11-03,10,23,A,1213,1,1.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,6.0,6.0,0,3,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,11.0,0.0,1.0,1.5,0.0,1
2012-11-03,13,14,H,1213,1,1.0,0,0.0,1.0,4.0,7.0,10.0,3.0,3.0,3.0,4.0,4.0,9.0,6.0,3,0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6.0,8.0,0.0,1.0,1.0,0.0,1
2012-11-03,11,1,A,1213,1,1.0,0,0.0,3.0,6.0,6.0,6.0,3.0,3.0,6.0,6.0,9.0,7.0,14.0,0,3,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,7.0,10.0,0.0,3.0,3.0,0.0,1
2012-11-04,7,25,A,1213,1,0.0,0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,6.0,9.0,12.0,6.0,9.0,0,3,0.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,13.0,13.0,3.0,1.5,2.0,2.5,0
2012-11-04,21,17,H,1213,1,0.0,0,3.0,6.0,6.0,9.0,9.0,3.0,6.0,9.0,12.0,15.0,7.0,10.0,3,0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,2.0,3.0,1.0,1.0,8.0,12.0,3.0,2.0,2.0,2.0,0
2012-11-09,15,21,H,1213,1,1.0,0,3.0,6.0,9.0,12.0,13.0,3.0,6.0,9.0,9.0,12.0,12.0,15.0,3,0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,7.0,9.0,1.3333333333333333,2.0,2.0,1.0,1
